Date,Txn Date,Narrative,Credit,Debit
25-05,25-05,CASH BACK CAIRO,88.00,
29-04,29-04,"WWW ZALANDO FR BERLIN EUR72,00",,1455.30
30-04,30-04,PAYMOB shiren CAIRO,,120.00
30-04,30-04,KOKIO CHIKEN CAIRO N. -07A,,200.00
6-05,6-05,STARBUCKS WATER WAY 5A CAIRO N. -07A,,25.00
7-05,7-05,COCO GIZA-12E,,240.00
7-05,7-05,STARBUCKS GALLERIA 4 6TH OCT. -01A,,25.00
7-05,7-05,QAHWA PARK ST GIZA-12E,,60.00
8-05,8-05,OLA ABO ELKHEIR GROUP 6TH OCT. -01A,,407.00
11-05,11-05,STARBUCKS DRIVE THRU CAIRO N. -07A,,25.00
12-05,12-05,FLAMINGO CAIRO N. -07A,,29.50
12-05,12-05,HARDEES CHILLOUT 50811 CAIRO N. -07A,,77.00
13-05,13-05,TOTAL FUEL 116164 CAIRO N. -07A,,419.25
21-05,21-05,MCDONALDS CHILL OUT CF CAIRO N. -07A,,8.00
28-05,28-05,LANYUAN RESTAURANT CAIRO N. -07B,,190.00
30-05,30-05,Gourmet Maadi 9 Maadi,,292.00
30-04,30-04,PAYMENT RECEIVED INTERNET,200.00,
1-05,1-05,Reverse Annual fee,75.00,
