Date,Txn Date,Narrative,Credit,Debit
23/02,23/02,MARKUP FEES CAIRO,,4.95
23/02,23/02,MARKUP FEES CAIRO,,1.50
24/02,24/02,MARKUP FEES CAIRO,,2.25
8/03,8/03,MARKUP FEES CAIRO,,1.44
17/03,17/03,MARKUP FEES CAIRO,,.57
20/02,20/02,STARBUCKS DRIVE THRU CAIRO N. -07A,,40.00
21/02,21/02,Netflix.com INTERNET,,165.00
21/02,21/02,APPLE.COM/BILL ITUNES.COM,,49.99
22/02,22/02,APPLE.COM/BILL ITUNES.COM,,74.99
23/02,23/02,EMARAT MISR-RING ROAD CAIRO N. -07A,,215.00
23/02,23/02,EMARAT MISR-RING ROAD CAIRO N. -07A,,44.00
23/02,23/02,myfawry Maadi,,202.50
23/02,23/02,myfawry Maadi,,62.50
23/02,23/02,STARBUCKS DRIVE THRU CAIRO N. -07A,,96.00
25/02,25/02,STARBUCKS WATERWAY CAIRO N. -07A,,35.00
26/02,26/02,MOBIL STATION ELNOUR CAIRO,,245.00
28/02,28/02,Uber BV Cairo,,58.12
29/02,29/02,Uber BV Cairo,,12.00
29/02,29/02,TOTAL FUEL 112617 CAIRO N. -07C,,80.00
29/02,29/02,Myfawry Maadi,,348.39
1/03,1/03,A&W FOR TRADING - CHILL OUT 6TH OCT. -01A,,98.00
1/03,1/03,EMARAT MISR - C.F.C CAIRO E07E,,49.00
1/03,1/03,EMARAT MISR - C.F.C CAIRO E07E,,315.00
1/03,1/03,STARBUCKS DRIVE THRU CAIRO N. -07A,,96.00
5/03,5/03,TOTAL BONJOUR 116082 6TH OCT. -01A,,75.50
5/03,5/03,Myfawry Maadi,,96.75
5/03,5/03,Myfawry Maadi,,242.61
6/03,6/03,APPLE.COM/BILL ITUNES.COM,,47.99
7/03,7/03,Uber BV Cairo,,14.39
8/03,8/03,Otlob.com Cairo,,101.10
9/03,9/03,Otlob.com Cairo,,155.00
9/03,9/03,PayMob Accept Downtown,,280.00
15/03,15/03,LINCONTRO CAIRO,,1034.21
16/03,16/03,APPLE.COM/BILL ITUNES.COM,,18.99
16/03,16/03,MCDONALD،S CHILLOUT DE 6TH OCT. - 01A,,95.50
16/03,16/03,STARBUCKS COFFEED 6TH OCT. -01A,,67.00
18/03,18/03,DECATHLON EGYPT - CFC CAIRO E. -07C,,1146.00
15/03,15/03,Payment - Direct Debit,6339.39,
1/03,1/03,Solidarity Scheme CLOSING BALANCE,,5.00
