Date,Txn Date,Narrative,Credit,Debit
28-12,28-12,FOREIGN EXCHANGE FEES CAIRO,,20.00
29-11,29-11,Coffee Berry O1 New Ca CAIRO N. -07A,,65.00
29-11,29-11,Coffee Berry O1 New Ca CAIRO N. -07A,,65.00
29-11,29-11,CHILLOUT AUC CAIRO N. -07A,,200.00
29-11,29-11,EL EZABY CAIRO N. -07A,,143.24
29-11,29-11,ARAMEX INTERNATIONAL M CAIRO,,812.36
29-11,29-11,PAYMOB dribrahim CAIRO,,350.00
30-11,30-11,APEX CO. CAIRO,,90.00
1-12,1-12,MOBIL MARKET CAIRO,,115.00
1-12,1-12,ON THE RUN CAIRO,,72.00
2-12,2-12,MOBIL CAIRO,,525.00
2-12,2-12,ROYAL CAIRO,,814.60
3-12,3-12,BAVARIAN AUTO - KATTAMEYA 5 CAIRO S. -07E,,1400.00
3-12,3-12,SEOUDI-SILVER STAR CAIRO N 07,,254.93
3-12,3-12,FLAMINGO CAIRO N. -07A,,571.14
4-12,4-12,VODAFONE EGYPT CAIRO,,2005.00
4-12,4-12,VODAFONE EGYPT CAIRO,,1005.00
4-12,4-12,MOBIL MARKET CAIRO,,35.00
4-12,4-12,FAWRY*TOMMY CAIRO D T,,340.00
5-12,5-12,CIRCLE K TRADE MIX CAIRO,,40.00
6-12,6-12,APEX CO. CAIRO,,40.00
6-12,6-12,A 2 Z MARKET CAIRO N. -07A,,297.50
7-12,7-12,CAKE CAFE SWAN LAKE CAIRO N. -07A,,745.65
7-12,7-12,TRAFFIC MARKET CAIRO,,47.00
7-12,7-12,Orange DSL Cairo,,114.00
8-12,8-12,MOBIL CFC CAIRO,,365.00
8-12,8-12,APEX CO. CAIRO,,38.00
8-12,8-12,ON THE RUN CAIRO,,80.00
9-12,9-12,SEOUDI - SILVER MALL CAIRO N. -07A,,320.19
9-12,9-12,Carlos CAIRO E. -07C,,380.00
10-12,10-12,SUPERMARKET MAHMOUD EL CAIRO N. -07A,,135.43
11-12,11-12,VODAFONE EGYPT CAIRO,,1105.00
11-12,11-12,MOBIL MARKET CAIRO,,38.00
12-12,12-12,VODAFONE EGYPT CAIRO,,405.00
13-12,13-12,FLAMINGO CAIRO N. -07A,,391.60
13-12,13-12,MEKKA CENTER CAIRO N. -07A,,215.00
13-12,13-12,MOBIL MARKET CAIRO,,40.00
13-12,13-12,ON THE RUN CAIRO,,80.00
13-12,13-12,A 2 Z SUPER MARKET 2 CAIRO N 07,,40.50
14-12,14-12,EL EZABY CAIRO N. -07A,,73.27
15-12,15-12,SEOUDI-SILVER STAR CAIRO N 07,,135.29
16-12,16-12,KRISPY KREME 21713 CAIRO N. -07A,,30.00
16-12,16-12,MOBIL MARKET CAIRO,,40.00
17-12,17-12,VODAFONE EGYPT CAIRO,,105.00
19-12,19-12,Seoudi Water Way 1 Others,,304.80
20-12,20-12,VODAFONE EGYPT CAIRO,,2005.00
24-12,24-12,SEOUDI - WATER WAY MALL CAIRO N. -07A,,575.91
25-12,25-12,MAHMOUD ELFAR ELTAGAMO CAIRO D T,,169.52
26-12,26-12,DUNKIN DONUTS -ELMOSHI CAIRO N 07,,48.00
26-12,26-12,MOBIL CFC CAIRO,,200.00
26-12,26-12,ON THE RUN CAIRO,,40.00
27-12,27-12,Netflix.com Los Gatos,,200.00
24-12,24-12,PAYMENT RECEIVED INTERNET,9500.00,
24-12,24-12,PAYMENT RECEIVED INTERNET,6000.00,
1-12,1-12,INSURANCE FEE -SOLIDARITY EGYPTAIR PLUS Frequent Flyer Number4020614942 Welcome Bonus Miles Miles Earned Dec-22 (Miles will be added to your EGYPTAIR Plus account in 4 weeks) CLOSING BALANCE,,10.00
