Date,Txn Date,Narrative,Credit,Debit
23-05,23-05,FOREIGN EXCHANGE FEES CAIRO,,2.25
29-05,29-05,FOREIGN EXCHANGE FEES CAIRO,,6.00
15-06,15-06,FOREIGN EXCHANGE FEES CAIRO,,.57
16-06,16-06,FOREIGN EXCHANGE FEES CAIRO,,1.50
19-05,19-05,INSTASHOP CAIRO N. -07A,,106.50
19-05,19-05,elmenus CAIRO S. -07E,,109.08
21-05,21-05,PAYMOB CAIRO D.T-07D,,360.00
21-05,21-05,MAX MUSCLE - TAGAMOA CAIRO,,625.00
21-05,21-05,FLAMNGO HYPER CAIRO,,811.19
22-05,22-05,APPLE.COM/BILL ITUNES.COM,,74.99
25-05,25-05,INSTASHOP CAIRO N. -07A,,201.50
27-05,27-05,Netflix.com Los Gatos,,200.00
28-05,28-05,TBS CB O1 Mall New Cairo,,113.02
28-05,28-05,ON THE RUN -URBAN 5NEW CAIRO,,70.00
29-05,29-05,PAYMOB CAIRO D.T-07D,,221.25
29-05,29-05,INSTASHOP CAIRO N. -07A,,275.40
30-05,30-05,TBS CB O1 Mall New Cairo,,92.52
30-05,30-05,APEX CO. CAIRO,,80.00
30-05,30-05,Talabat Cairo,,135.96
31-05,31-05,BAVARIAN AUTO - KATTAMEYA 1 CAIRO S. -07E,,3100.00
31-05,31-05,Uber BV Cairo,,56.52
31-05,31-05,Uber BV Cairo,,118.89
31-05,31-05,STARBUCKS DRIVE THRU CAIRO N. -07A,,40.00
1-06,1-06,Starbucks Diplomat CAIRO N. -07A,,40.00
1-06,1-06,Paymob - BREADFAST CAIRO,,416.75
1-06,1-06,FAWRY*SHYL FWRM CAIRO D T,,1500.00
2-06,2-06,MOBIL NEW CAIRO CAIRO,,435.00
3-06,3-06,Myfawry Maadi,,42.50
3-06,3-06,Myfawry Maadi,,1032.06
3-06,3-06,MOBIL ONE CENTER CAIRO,,83.00
3-06,3-06,APEX CO. CAIRO,,116.00
4-06,4-06,UPLIFT 16 CAIRO N. -07A,,2000.00
4-06,4-06,Via Drive Thru Cairo,,65.00
4-06,4-06,EMIRATES MISR CAIRO,,46.00
5-06,5-06,STARBUCKS ARABELLA PLA CAIRO N. -07A,,95.00
5-06,5-06,MCDONALDS MOBIL ELNARG CAIRO N. -07A,,116.00
6-06,6-06,GOV-PAY CAIRO,,100.00
7-06,7-06,MCDONALDS MOBIL ELNARG CAIRO N. -07A,,116.00
7-06,7-06,myfawry Maadi,,145.50
7-06,7-06,MOBIL ONE CENTER CAIRO,,101.00
7-06,7-06,MOBIL CAIRO,,405.00
7-06,7-06,ON THE RUN -URBAN 5NEW CAIRO,,107.00
8-06,8-06,VODAFONE EGYPT CAIRO,,255.00
9-06,9-06,ON THE RUN -URBAN 5 NE CAIRO,,55.00
10-06,10-06,MOBIL ONE CENTER CAIRO,,63.00
10-06,10-06,ON THE RUN -URBAN 5 NE CAIRO,,71.00
10-06,10-06,TOTAL BONJOUR 116165 CAIRO N. -07A,,77.00
11-06,11-06,Via Drive Thru Cairo,,59.30
11-06,11-06,KRISPY KREME 21706 CAIRO N. -07A,,30.00
12-06,12-06,INSTASHOP CAIRO N. -07A,,417.75
12-06,12-06,VODAFONE EGYPT CAIRO,,1005.00
13-06,13-06,Starbucks Diplomat CAIRO N. -07A,,35.00
14-06,14-06,APPLE.COM/BILL ITUNES.COM,,18.99
14-06,14-06,MOBIL ONE CENTER CAIRO,,116.00
14-06,14-06,TRAFFIC MARKET CAIRO,,35.00
15-06,15-06,APPLE.COM/BILL ITUNES.COM,,49.99
15-06,15-06,Myfawry Maadi,,198.80
15-06,15-06,myfawry Maadi,,145.50
15-06,15-06,Oscar MarketNew Ca Others,,94.20
15-06,15-06,MOBIL CAIRO,,350.00
15-06,15-06,PAYMOB oscar sho GIZA,,80.00
15-06,15-06,Talabat Cairo,,113.46
16-06,16-06,Via Drive Thru Cairo,,60.00
16-06,16-06,MCDONALDS MOBIL ELNARG CAIRO N. -07A,,122.00
16-06,16-06,TRAFFIC MARKET CAIRO,,117.00
17-06,17-06,COFFEE LAB -CONCORD PLAZA CAIRO N. -07A,,120.00
17-06,17-06,TSEPPAS - MOKATTAM CAIRO D.T-07H,,257.50
18-06,18-06,Myfawry Maadi,,199.67
19-06,19-06,Myfawry Maadi,,85.00
22-05,22-05,PAYMENT RECEIVED INTERNET,700.00,
28-05,28-05,PAYMENT RECEIVED INTERNET,2200.00,
31-05,31-05,PAYMENT RECEIVED INTERNET,10000.00,
11-06,11-06,PAYMENT RECEIVED INTERNET,400.00,
12-06,12-06,PAYMENT RECEIVED INTERNET,1000.00,
15-06,15-06,PAYMENT RECEIVED INTERNET,1500.00,
19-06,19-06,PAYMENT RECEIVED INTERNET,1000.00,
1-06,1-06,INSURANCE FEE -SOLIDARITY CLOSING BALANCE,,10.00
