date,txn date,clean_narrative,value
03/10/2021,03/10/2021,Online Transfer Transfer to Another CIB Client,-300.0
03/10/2021,03/10/2021,POS PURCHASE PRIME PICK UP CAIRO,-10.0
04/10/2021,04/10/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-50.0
05/10/2021,05/10/2021,Online Transfer Transfer to Another CIB Client,2500.0
05/10/2021,05/10/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-2500.0
06/10/2021,06/10/2021,Online Transfer Transfer to Another CIB Client,-350.0
06/10/2021,06/10/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
10/10/2021,10/10/2021,POS PURCHASE AMAZON MARKETPLACE CAIRO,-133.69
11/10/2021,11/10/2021,Online Transfer Transfer to Another CIB Client,1000.0
11/10/2021,11/10/2021,POS PURCHASE MCDONALD CHILLOUT SUEZ,-111.99
11/10/2021,11/10/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
13/10/2021,13/10/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
13/10/2021,13/10/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-450.0
14/10/2021,14/10/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-2050.0
14/10/2021,14/10/2021,POS PURCHASE GOOGLE Magi Core Inc co helppay US,-32.3
14/10/2021,14/10/2021,POS PURCHASE FELIXMERCHANT DEHRADUN IN,-32.47
14/10/2021,14/10/2021,POS PURCHASE REFUND AMAZON MARKETPLACE CAIRO,83.81
20/10/2021,20/10/2021,POS PURCHASE PRIME PICK UP CAIRO,-25.0
25/10/2021,25/10/2021,POS PURCHASE New Cairo EG,-255.0
26/10/2021,26/10/2021,POS PURCHASE JIMMY CAIRO,-147.0
26/10/2021,26/10/2021,POS PURCHASE GOAT ALEX,-93.0
27/10/2021,27/10/2021,POS PURCHASE Spotify AB Stockholm SE,-82.39
31/10/2021,31/10/2021,POS PURCHASE MCDONALD CHILLOUT SUEZ,-100.0
31/10/2021,31/10/2021,POS PURCHASE PRIME PICK UP CAIRO,-18.0
31/10/2021,31/10/2021,Credit Interest,8.37
03/11/2021,03/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-49.0
03/11/2021,03/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-12.0
04/11/2021,04/11/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-72.0
07/11/2021,07/11/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-200.0
07/11/2021,07/11/2021,POS PURCHASE Talabat Cairo EG,-91.99
07/11/2021,07/11/2021,Online Transfer Transfer to Another CIB Client,3400.0
07/11/2021,07/11/2021,POS PURCHASE ORANGE EGYPT EG,-143.0
09/11/2021,09/11/2021,POS PURCHASE INSTASHOP CAIRO,-461.84
09/11/2021,09/11/2021,POS PURCHASE LYCHEE FRUIT BAR CAIRO,-105.0
09/11/2021,09/11/2021,POS PURCHASE INSTASHOP CAIRO,-4.28
09/11/2021,09/11/2021,POS PURCHASE Talabat Cairo EG,-52.99
09/11/2021,09/11/2021,POS PURCHASE GOOGLE Google Storage US,-32.3
09/11/2021,09/11/2021,POS PURCHASE REFUND INSTASHOP CAIRO,4.28
10/11/2021,10/11/2021,Online Transfer Transfer to Another CIB Client,0.01
11/11/2021,11/11/2021,POS PURCHASE MCDONALDS MOBIL ELNARG CAIRO,-115.47
14/11/2021,14/11/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-2000.0
14/11/2021,14/11/2021,POS PURCHASE GRINGOS MATROUH,-142.0
14/11/2021,14/11/2021,POS PURCHASE myfawry Maadi EG,-88.3
15/11/2021,15/11/2021,POS PURCHASE MCDONALD CHILLOUT SUEZ,-96.0
15/11/2021,15/11/2021,POS PURCHASE INSTASHOP CAIRO,-389.0
16/11/2021,16/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-26.0
16/11/2021,16/11/2021,POS PURCHASE INSTASHOP CAIRO,-207.35
17/11/2021,17/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-39.0
17/11/2021,17/11/2021,POS PURCHASE JIMMYS CAIRO,-10.0
17/11/2021,17/11/2021,Online Transfer Transfer to Another CIB Client,1500.0
17/11/2021,17/11/2021,ATM WITHDRAWAL NBE CAIRO EG,-1500.0
18/11/2021,18/11/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-50.0
18/11/2021,18/11/2021,Online Transfer Transfer to Another CIB Client,-800.0
21/11/2021,21/11/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
22/11/2021,22/11/2021,POS PURCHASE JIMMYS CAIRO,-7.0
23/11/2021,23/11/2021,Online Transfer Transfer to Another CIB Client,2000.0
23/11/2021,23/11/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-2000.0
25/11/2021,25/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-86.0
25/11/2021,25/11/2021,POS PURCHASE PRIME PICK UP CAIRO,-16.0
29/11/2021,29/11/2021,Online Transfer Transfer to Another CIB Client,200.0
29/11/2021,29/11/2021,Online Transfer Transfer to Another CIB Client,100.0
29/11/2021,29/11/2021,POS PURCHASE Talabat Cairo EG,-121.5
30/11/2021,30/11/2021,Credit Interest,0.83
01/12/2021,01/12/2021,POS PURCHASE AZZAM WATCHES CAIRO,-50.0
01/12/2021,01/12/2021,POS PURCHASE Orange Egypt EG,-100.0
01/12/2021,01/12/2021,POS PURCHASE Uber BV Cairo EG,-108.78
02/12/2021,02/12/2021,POS PURCHASE PRIME PICK UP CAIRO,-34.0
05/12/2021,05/12/2021,Online Transfer Transfer to Another CIB Client,400.0
05/12/2021,05/12/2021,POS PURCHASE Uber BV Cairo EG,-28.7
05/12/2021,05/12/2021,POS PURCHASE CAREEM OCT,-5.0
05/12/2021,05/12/2021,POS PURCHASE QUICK CAIRO EG,-75.0
07/12/2021,07/12/2021,POS PURCHASE Uber BV Cairo EG,-15.74
07/12/2021,07/12/2021,POS PURCHASE Uber BV Cairo EG,-90.92
07/12/2021,07/12/2021,POS PURCHASE CAREEM OCT,-13.0
07/12/2021,07/12/2021,POS PURCHASE PROCAR CAIRO,-87.0
07/12/2021,07/12/2021,Online Transfer Transfer to Another CIB Client,5000.0
07/12/2021,07/12/2021,ATM WITHDRAWAL HSBC AIRO EG,-4200.0
08/12/2021,08/12/2021,POS PURCHASE Uber BV Cairo EG,-97.51
08/12/2021,08/12/2021,POS PURCHASE PRIME PICK UP CAIRO,-13.0
09/12/2021,09/12/2021,POS PURCHASE Uber BV Cairo EG,-13.0
09/12/2021,09/12/2021,POS PURCHASE Uber BV Cairo EG,-14.09
09/12/2021,09/12/2021,POS PURCHASE Uber BV Cairo EG,-22.49
09/12/2021,09/12/2021,POS PURCHASE GOOGLE Google Storage US,-32.3
09/12/2021,09/12/2021,POS PURCHASE REFUND Uber BV Cairo EG,13.0
09/12/2021,09/12/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
12/12/2021,12/12/2021,Online Transfer Debt payment,-300.0
12/12/2021,12/12/2021,POS PURCHASE BUFFALO WINGS AND RI CAIRO,-140.0
12/12/2021,12/12/2021,POS PURCHASE PRIME PICK UP CAIRO,-21.0
13/12/2021,13/12/2021,Online Transfer Transfer to Another CIB Client,300.0
13/12/2021,13/12/2021,POS PURCHASE JIMMYS CAIRO,-10.0
15/12/2021,15/12/2021,POS PURCHASE PRIME PICK UP CAIRO,-8.0
15/12/2021,15/12/2021,POS PURCHASE STARBUCKS CAIRO,-35.0
16/12/2021,16/12/2021,POS PURCHASE FRESH FOOD CAIRO EG,-28.75
16/12/2021,16/12/2021,POS PURCHASE STARBUCKS DOWNTOWN CAIRO,-35.0
19/12/2021,19/12/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
19/12/2021,19/12/2021,POS PURCHASE Dominos Pizza Nasr City EG,-298.0
21/12/2021,21/12/2021,Online Transfer Transfer to Another CIB Client,2000.0
21/12/2021,21/12/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-2000.0
23/12/2021,23/12/2021,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
27/12/2021,27/12/2021,Online Transfer Transfer to Another CIB Client,1000.0
28/12/2021,28/12/2021,Online Transfer Transfer to Another CIB Client,1500.0
29/12/2021,29/12/2021,Online Transfer Transfer to Another CIB Client,128.5
30/12/2021,30/12/2021,ATM DEPOSIT CIB MOKATAM BR BNA CAIRO EG,1500.0
30/12/2021,30/12/2021,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-50.0
30/12/2021,30/12/2021,Online Transfer Transfer to Another CIB Client,-1500.0
30/12/2021,30/12/2021,Credit Interest,0.19
