date,txn date,clean_narrative,value
06/07/2022,06/07/2022,POS PURCHASE Uber BV Cairo EG,-39.6
17/07/2022,17/07/2022,POS PURCHASE Orange Egypt EG,-100.0
17/07/2022,17/07/2022,POS PURCHASE Uber BV Cairo EG,-39.86
18/07/2022,18/07/2022,POS PURCHASE APPLE COM BILL ITUNES COM IE,-17.5
28/07/2022,28/07/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
31/07/2022,31/07/2022,Credit Interest,0.01
25/08/2022,25/08/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-1.32
29/08/2022,29/08/2022,ATM CARDLESS DEPOSIT \ CIB WATER WAY BR CAIRO EG,100.0
30/08/2022,30/08/2022,Fees Account Transfer \ Debit Card Fees for,-60.0
30/08/2022,30/08/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-8.68
04/09/2022,04/09/2022,ATM CARDLESS DEPOSIT \ CIB CFC BR II CAIRO EG,100.0
18/09/2022,18/09/2022,ATM WITHDRAWAL BDC EL TGAMAA EL KHAME CAIRO EG,-105.0
26/09/2022,26/09/2022,Inward ACH ACH() RTIN()مصاريف ROM() (,5000.0
27/09/2022,27/09/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,2000.0
28/09/2022,28/09/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
29/09/2022,29/09/2022,POS PURCHASE COM AMSTERDAM NL,-2160.34
29/09/2022,29/09/2022,Credit Interest,0.12
