date,txn date,clean_narrative,value
05/01/2022,05/01/2022,Online Transfer Transfer to Another CIB Client,65.0
30/01/2022,30/01/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
30/01/2022,30/01/2022,POS PURCHASE PAYPAL SPOTIFY GB,-51.49
31/01/2022,31/01/2022,Credit Interest,0.01
03/02/2022,03/02/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,3500.0
07/02/2022,07/02/2022,POS PURCHASE Orange Egypt EG,-115.0
08/02/2022,08/02/2022,POS PURCHASE APPLE COM BILL ITUNES COM IE,-41.19
09/02/2022,09/02/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-100.0
10/02/2022,10/02/2022,POS PURCHASE Talabat Cairo EG,-121.0
14/02/2022,14/02/2022,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-69.6
14/02/2022,14/02/2022,POS PURCHASE Talabat Cairo EG,-96.89
14/02/2022,14/02/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-1000.0
22/02/2022,22/02/2022,POS PURCHASE FLAMINGO CAIRO,-15.57
24/02/2022,24/02/2022,POS PURCHASE MOBIL CAIRO EG,-200.0
27/02/2022,27/02/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
27/02/2022,27/02/2022,POS PURCHASE MOBILATY MOBILATY PO CAIRO,-999.0
28/02/2022,28/02/2022,POS PURCHASE PAYPAL SPOTIFY GB,-51.49
28/02/2022,28/02/2022,Credit Interest,0.02
03/03/2022,03/03/2022,POS PURCHASE Orange Egypt EG,-15.0
03/03/2022,03/03/2022,POS PURCHASE Orange Egypt EG,-108.0
08/03/2022,08/03/2022,POS PURCHASE ELMENUS CAIRO,-105.0
10/03/2022,10/03/2022,POS PURCHASE Orange Egypt EG,-115.0
13/03/2022,13/03/2022,POS PURCHASE RAYA SUPERMARKET WAF CAIRO,-291.65
13/03/2022,13/03/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,200.0
15/03/2022,15/03/2022,POS PURCHASE COM AMSTERDAM NL,-170.77
15/03/2022,15/03/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,400.0
20/03/2022,20/03/2022,POS PURCHASE TAZKARTI GIZA EG,-350.0
21/03/2022,21/03/2022,POS PURCHASE Orange Egypt EG,-115.0
31/03/2022,31/03/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
31/03/2022,31/03/2022,Credit Interest,0.02
