date,txn date,clean_narrative,value
03/07/2022,03/07/2022,Online Transfer Diet subscription,-1500.0
05/07/2022,05/07/2022,Online Transfer Transfer to Another CIB Client,1000.0
05/07/2022,05/07/2022,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG,-1000.0
06/07/2022,06/07/2022,POS PURCHASE PADDLE NET TRIPMODECH London GB,-389.55
07/07/2022,07/07/2022,POS PURCHASE PAYMOB RABBITSCO CAIRO EG,-12.0
07/07/2022,07/07/2022,POS PURCHASE PAYMOB RABBITSCO CAIRO EG,-7.0
07/07/2022,07/07/2022,POS PURCHASE PAYMOB RABBITSCO CAIRO EG,-10.0
07/07/2022,07/07/2022,POS PURCHASE PAYMOB RABBITSCO CAIRO EG,-8.0
17/07/2022,17/07/2022,Online Transfer Personal transfer,20000.0
17/07/2022,17/07/2022,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-4000.0
17/07/2022,17/07/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-12000.0
17/07/2022,17/07/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-4000.0
20/07/2022,20/07/2022,ATM DEPOSIT CIB MOKATAM BR BNA CAIRO EG,200.0
20/07/2022,20/07/2022,POS PURCHASE MCDONALDS CHILLOUT TUR CAIRO,-60.0
20/07/2022,20/07/2022,Online Transfer Transfer to Another CIB Client,600.0
20/07/2022,20/07/2022,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-600.0
24/07/2022,24/07/2022,Online Transfer Transfer to Another CIB Client,1000.0
24/07/2022,24/07/2022,POS PURCHASE MAADI CAIRO,-75.0
25/07/2022,25/07/2022,Online Transfer Transfer to Another CIB Client,1000.0
25/07/2022,25/07/2022,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG,-1600.0
25/07/2022,25/07/2022,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
26/07/2022,26/07/2022,Online Transfer Transfer to Another CIB Client,600.0
26/07/2022,26/07/2022,Inward ACH ACH(ACH/) RTIN(SALARY FO SYNDO EMPLOYEES) FROM(,2000.0
26/07/2022,26/07/2022,Online Transfer Transfer to Another CIB Client,2000.0
26/07/2022,26/07/2022,ATM WITHDRAWAL ALXB okatam EG,-1755.0
27/07/2022,27/07/2022,Online Transfer Transfer to Another CIB Client,600.0
27/07/2022,27/07/2022,Online Transfer Transfer to Another CIB Client,-600.0
27/07/2022,27/07/2022,POS PURCHASE MOBIL CAIRO EG,-384.0
27/07/2022,27/07/2022,POS PURCHASE CARREFOUR ELASMART CAIRO,-507.96
28/07/2022,28/07/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
28/07/2022,28/07/2022,POS PURCHASE EL RAYA SUPERMARKET CAIRO,-217.45
31/07/2022,31/07/2022,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-100.0
31/07/2022,31/07/2022,POS PURCHASE DANDY FOR CLOTHES CAIRO EG,-225.0
31/07/2022,31/07/2022,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-55.0
31/07/2022,31/07/2022,Credit Interest,0.29
02/08/2022,02/08/2022,Online Transfer Transfer to Another CIB Client,-75.0
02/08/2022,02/08/2022,POS PURCHASE Breadfast Nargas CAIRO,-67.0
07/08/2022,07/08/2022,ATM WITHDRAWAL NBE CAIRO EG,-105.0
07/08/2022,07/08/2022,ATM WITHDRAWAL NBE CAIRO EG,-305.0
07/08/2022,07/08/2022,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-400.0
07/08/2022,07/08/2022,POS PURCHASE ACCEPT PAYMOB CAIRO EG,-150.0
09/08/2022,09/08/2022,ATM DEPOSIT CIB MOKATAM BR BNA CAIRO EG,450.0
09/08/2022,09/08/2022,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-600.0
09/08/2022,09/08/2022,Online Transfer Transfer to Another CIB Client,-150.0
09/08/2022,09/08/2022,POS PURCHASE MCDONALDS CHILLOUT TUR CAIRO,-60.0
09/08/2022,09/08/2022,POS PURCHASE MCDONALDS CHILLOUT TUR CAIRO,-15.99
09/08/2022,09/08/2022,POS PURCHASE starbucks waterway CAIRO,-55.0
10/08/2022,10/08/2022,POS PURCHASE myfawry Maadi EG,-88.3
14/08/2022,14/08/2022,Online Transfer Transfer to Another CIB Client,78.0
14/08/2022,14/08/2022,Online Transfer Transfer to Another CIB Client,2000.0
14/08/2022,14/08/2022,IPN Outward Payee Name: Yasseen Mohamed Payer Name: ALY MAJED MOHAMED ABDEL Total,-5.0
14/08/2022,14/08/2022,Online Transfer Transfer to Another CIB Client,5.0
