date,txn date,clean_narrative,value
02/10/2022,02/10/2022,ATM WITHDRAWAL BRKA AIRO EG,-305.0
02/10/2022,02/10/2022,POS PURCHASE Orange Egypt EG,-286.0
03/10/2022,03/10/2022,POS PURCHASE MOBILE OIL CAIRO EG,-200.0
03/10/2022,03/10/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-232.79
03/10/2022,03/10/2022,POS PURCHASE Myfawry Maadi EG,-339.9
05/10/2022,05/10/2022,Inward ACH CH( ) RTIN(DIG) FROM()(,15000.0
09/10/2022,09/10/2022,ATM WITHDRAWAL NBE CAIRO EG,-105.0
10/10/2022,10/10/2022,POS PURCHASE Sphinx Publishing CAIRO EG,-2500.0
11/10/2022,11/10/2022,POS PURCHASE Orange Egypt EG,-15.0
13/10/2022,13/10/2022,POS PURCHASE MCDONALDS MOBIL ELNARG CAIRO,-110.01
16/10/2022,16/10/2022,POS PURCHASE BARBR RESTAURANT CAIRO EG,-435.0
16/10/2022,16/10/2022,POS PURCHASE CHILLOUT MASTER AINS SUEZ,-200.0
19/10/2022,19/10/2022,Inward ACH ACH() RTIN()مصروف OM()(,6000.0
19/10/2022,19/10/2022,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-105.0
20/10/2022,20/10/2022,POS PURCHASE FACEBK fb me ads IE,-206.0
20/10/2022,20/10/2022,POS PURCHASE FACEBK fb me ads IE,-206.0
20/10/2022,20/10/2022,POS PURCHASE OTT SIDE BY SIDEMEN WORTHING GB QWBMVHCZ,-161.79
20/10/2022,20/10/2022,POS PURCHASE FACEBK fb me ads IE,-206.0
23/10/2022,23/10/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-1600.0
23/10/2022,23/10/2022,Inward ACH ACH() RTIN()مصاريف ROM() (,5000.0
23/10/2022,23/10/2022,POS PURCHASE CHILLOUT MEDEOR CAIRO,-200.0
23/10/2022,23/10/2022,POS PURCHASE Orange Egypt EG,-122.0
23/10/2022,23/10/2022,POS PURCHASE GEIDEAHawawshi El Refa OTHERS EG,-808.0
23/10/2022,23/10/2022,POS PURCHASE FACEBK fb me ads IE,-283.92
23/10/2022,23/10/2022,POS PURCHASE FACEBK fb me ads IE,-257.5
23/10/2022,23/10/2022,POS PURCHASE Spin New Cairo EG,-156.01
23/10/2022,23/10/2022,POS PURCHASE GOOGLE cc google comIE,-243.11
24/10/2022,24/10/2022,POS PURCHASE FACEBK fb me ads IE,-618.0
24/10/2022,24/10/2022,POS PURCHASE FACEBK fb me ads IE,-463.5
24/10/2022,24/10/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-5000.0
24/10/2022,24/10/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-412.0
26/10/2022,26/10/2022,POS PURCHASE FACEBK fb me ads IE,-927.0
27/10/2022,27/10/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
27/10/2022,27/10/2022,POS PURCHASE PAYMOB Elrefaay GIZA EG,-2190.0
30/10/2022,30/10/2022,POS PURCHASE TAZKARTI Cairo EG,-175.0
30/10/2022,30/10/2022,POS PURCHASE FACEBK fb me ads IE,-1545.0
30/10/2022,30/10/2022,POS PURCHASE Talabat Cairo EG,-78.0
30/10/2022,30/10/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-1648.0
30/10/2022,30/10/2022,POS PURCHASE Talabat Cairo EG,-78.0
31/10/2022,31/10/2022,POS PURCHASE TOTAL FUEL CAIRO,-200.0
31/10/2022,31/10/2022,Credit Interest,12.48
01/11/2022,01/11/2022,POS PURCHASE ADS fb me ads IE,-2266.0
01/11/2022,01/11/2022,POS PURCHASE BLIZZARD VELIZY VILACOFR,-250.71
03/11/2022,03/11/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-1235.84
06/11/2022,06/11/2022,Inward ACH CH( ) RTIN(DIG) FROM()(,10000.0
07/11/2022,07/11/2022,POS PURCHASE FACEBK fb me ads IE,-3122.52
07/11/2022,07/11/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-2472.0
08/11/2022,08/11/2022,Inward ACH ACH() RTIN()مصروف OM()(,5000.0
08/11/2022,08/11/2022,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG,-2000.0
13/11/2022,13/11/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-4120.0
14/11/2022,14/11/2022,POS PURCHASE GoogleAdwordsEU Dublin IE,-4120.0
15/11/2022,15/11/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-500.0
17/11/2022,17/11/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
24/11/2022,24/11/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-750.0
24/11/2022,24/11/2022,POS PURCHASE Orange Egypt EG,-115.0
