date,txn date,clean_narrative,value
27/11/2022,27/11/2022,POS PURCHASE PRIME PICK UP CAIRO,-35.0
29/11/2022,29/11/2022,POS PURCHASE COM AMSTERDAM NL,-665.63
30/11/2022,30/11/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-500.0
30/11/2022,30/11/2022,Credit Interest,2.66
05/12/2022,05/12/2022,Inward ACH ACH() RTIN()مصروف OM()(,8000.0
05/12/2022,05/12/2022,POS PURCHASE Orange Egypt EG,-115.0
05/12/2022,05/12/2022,POS PURCHASE BELGIUM FOR SWEETS THO CAIRO,-430.12
05/12/2022,05/12/2022,ATM WITHDRAWAL CIB MOBILE EL NARGS CAIRO EG,-3000.0
05/12/2022,05/12/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-1500.0
06/12/2022,06/12/2022,ATM WITHDRAWAL BM GEN ADMIN PASSPOR CAIRO EG,-1505.0
08/12/2022,08/12/2022,Inward ACH ACH() RTIN()مصروف OM()(,3000.0
11/12/2022,11/12/2022,Outward Online Transfer,-500.0
11/12/2022,11/12/2022,POS PURCHASE FACEBK fb me ads IE,-1751.0
11/12/2022,11/12/2022,POS PURCHASE AMAN PASSPORTS CAIRO EG,-325.0
11/12/2022,11/12/2022,POS PURCHASE TAZKARTI GIZA EG,-75.0
11/12/2022,11/12/2022,POS PURCHASE FACEBK fb me ads IE,-412.0
11/12/2022,11/12/2022,POS PURCHASE TAZKARTI GIZA EG,-75.0
12/12/2022,12/12/2022,POS PURCHASE Orange Egypt EG,-115.0
12/12/2022,12/12/2022,POS PURCHASE TOP UP ETISALAT EGYPT CAIRO EG,-50.0
12/12/2022,12/12/2022,POS PURCHASE FACEBK fb me ads IE,-893.1
13/12/2022,13/12/2022,POS PURCHASE CHICKIN WORX COMPANY CAIRO,-439.0
15/12/2022,15/12/2022,POS PURCHASE Orange Egypt EG,-72.0
15/12/2022,15/12/2022,POS PURCHASE REFUND ELMENUS CAIRO,1.0
15/12/2022,15/12/2022,POS PURCHASE ELMENUS CAIRO,-157.38
15/12/2022,15/12/2022,POS PURCHASE ELMENUS CAIRO,-1.0
18/12/2022,18/12/2022,POS PURCHASE COM AMSTERDAM NL,-645.71
22/12/2022,22/12/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
28/12/2022,28/12/2022,Inward ACH ACH() RTIN()مصروف nan nan OM()(,12000.0
29/12/2022,29/12/2022,ATM WITHDRAWAL CIB TOLIP CLUB CAIRO EG,-9500.0
29/12/2022,29/12/2022,Credit Interest,0.02
