date,txn date,clean_narrative,value
01/01/2021,01/01/2021,ATM CARDLESS DEPOSIT \ CIB HEGAZ BR BNA CAIRO EG,2600.0
01/01/2021,01/01/2021,Online Transfer RCJ Fees,-3000.0
03/01/2021,03/01/2021,Online Transfer Transfer to Another CIB Client,100.0
03/01/2021,03/01/2021,Online Transfer Transfer to Another CIB Client,700.0
03/01/2021,03/01/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
04/01/2021,04/01/2021,POS PURCHASE PAYPAL KINGUINDIGI BG,-75.17
05/01/2021,05/01/2021,POS PURCHASE PAYPAL STEAM GAMES GB,-175.57
11/01/2021,11/01/2021,POS PURCHASE MCDONALD CHILLOUT NA CAIRO,-109.0
13/01/2021,13/01/2021,POS PURCHASE INFINITY CAIRO,-70.0
17/01/2021,17/01/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
21/01/2021,21/01/2021,ATM WITHDRAWAL ALXB AIRO EG,-300.0
24/01/2021,24/01/2021,Online Transfer Transfer to Another CIB Client,300.0
26/01/2021,26/01/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-35.2
26/01/2021,26/01/2021,POS PURCHASE Gelato Mio Maadi CAIRO,-110.0
27/01/2021,27/01/2021,Account Transfer \ AWARD Funds .. ALY MAJED MOHAMED ABDELBASET AYAD,10000.0
31/01/2021,31/01/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-68.8
31/01/2021,31/01/2021,Credit Interest,0.16
01/02/2021,01/02/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
07/02/2021,07/02/2021,Online Transfer Transfer to Another CIB Client,600.0
07/02/2021,07/02/2021,Online Transfer Transfer to Another CIB Client,-600.0
07/02/2021,07/02/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
14/02/2021,14/02/2021,Online Transfer Transfer to Another CIB Client,4200.0
14/02/2021,14/02/2021,ATM WITHDRAWAL \ CIB ELLASELKY BR CAIRO EG,-3600.0
17/02/2021,17/02/2021,Online Transfer Transfer to Another CIB Client,350.0
17/02/2021,17/02/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-56.8
17/02/2021,17/02/2021,POS PURCHASE STEAMGAMES COM Hamburg DE,-146.41
22/02/2021,22/02/2021,Outward Online Transfer,-679.0
22/02/2021,22/02/2021,Online Transfer Money transfer,-200.0
28/02/2021,28/02/2021,Online Transfer Transfer to Another CIB Client,1740.0
28/02/2021,28/02/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-150.0
28/02/2021,28/02/2021,ATM WITHDRAWAL NBAD EGYPT GYPT CEG,-500.0
01/03/2021,01/03/2021,Online Transfer Transfer to Another CIB Client,800.0
28/02/2021,28/02/2021,Credit Interest,39.43
01/03/2021,01/03/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-500.0
01/03/2021,01/03/2021,POS PURCHASE PAYMOB FAKAHANY CAIRO EG,-126.13
03/03/2021,03/03/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-200.0
04/03/2021,04/03/2021,Online Transfer Transfer to Another CIB Client,4000.0
04/03/2021,04/03/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-1400.0
07/03/2021,07/03/2021,Online Transfer Transfer to Another CIB Client,800.0
07/03/2021,07/03/2021,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-3000.0
09/03/2021,09/03/2021,Online Transfer Transfer to Another CIB Client,1800.0
10/03/2021,10/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-20.0
11/03/2021,11/03/2021,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-200.0
11/03/2021,11/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-15.0
11/03/2021,11/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-22.0
14/03/2021,14/03/2021,POS PURCHASE ZALANDO UK BIRMINGHAM GB,-2456.91
16/03/2021,16/03/2021,Online Transfer Transfer to Another CIB Client,1150.0
16/03/2021,16/03/2021,ATM WITHDRAWAL MAADI AIRO EG,-1000.0
16/03/2021,16/03/2021,ATM WITHDRAWAL STREET NO NEAR AIRO EG,-200.0
25/03/2021,25/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-47.0
30/03/2021,30/03/2021,POS PURCHASE STARBUCKS WATERWAY CAIRO,-55.0
30/03/2021,30/03/2021,POS PURCHASE MCDONALD MAADI CAIRO,-108.0
30/03/2021,30/03/2021,POS PURCHASE MCDONALD MAADI CAIRO,-32.49
31/03/2021,31/03/2021,POS PURCHASE Talabat Cairo EG,-15.0
31/03/2021,31/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-14.0
31/03/2021,31/03/2021,POS PURCHASE Talabat Cairo EG,-15.19
31/03/2021,31/03/2021,POS PURCHASE PRIME PICK UP CAIRO,-19.5
31/03/2021,31/03/2021,Credit Interest,44.69
