date,txn date,clean_narrative,value
06/04/2021,06/04/2021,Online Transfer Transfer to Another CIB Client,2100.0
08/04/2021,08/04/2021,ATM WITHDRAWAL BM COURT YARD BR CAIRO EG,-100.0
08/04/2021,08/04/2021,Online Transfer Change,40.0
11/04/2021,11/04/2021,Online Transfer Nutrition plan,-1200.0
11/04/2021,11/04/2021,Cash Deposit \ Enas Mohamed Hosni Moqattam Cairo CHEQ,47995.0
11/04/2021,11/04/2021,Online Transfer khaled,200.0
11/04/2021,11/04/2021,POS PURCHASE Uber BV Cairo EG,-30.28
11/04/2021,11/04/2021,POS PURCHASE PRIME PICK UP CAIRO,-60.0
12/04/2021,12/04/2021,ATM WITHDRAWAL BM ALMADDI CLUB CAIRO EG,-800.0
12/04/2021,12/04/2021,Online Transfer Transfer to Another CIB Client,300.0
13/04/2021,13/04/2021,POS PURCHASE MCDONALD MOKATTAM CAIRO,-86.49
14/04/2021,14/04/2021,Online Transfer Transfer to Another CIB Client,-5.0
14/04/2021,14/04/2021,Online Transfer Transfer to Another CIB Client,-47190.0
15/04/2021,15/04/2021,POS PURCHASE NAME CHEAP COM US,-211.46
15/04/2021,15/04/2021,POS PURCHASE WILLYS KITCHEN OCT,-131.0
18/04/2021,18/04/2021,ATM WITHDRAWAL STREET NO NEAR AIRO EG,-1100.0
18/04/2021,18/04/2021,POS PURCHASE TELECOM EGYPT ADSL PRE GIZA EG,-80.0
18/04/2021,18/04/2021,POS PURCHASE TELECOM EGYPT ADSL PRE GIZA EG,-20.0
18/04/2021,18/04/2021,POS PURCHASE NOON COMMERCE OCT,-157.45
26/04/2021,26/04/2021,Online Transfer Transfer to Another CIB Client,1200.0
28/04/2021,28/04/2021,Credit Interest,41.13
05/05/2021,05/05/2021,POS PURCHASE LAZADA KUALA LUMPUR MY,-35.28
11/05/2021,11/05/2021,POS PURCHASE GFM GoFndMe Help Musb Redwood City US,-87.11
17/05/2021,17/05/2021,Online Transfer Transfer to Another CIB Client,-162.0
17/05/2021,17/05/2021,Online Transfer Transfer to Another CIB Client,400.0
19/05/2021,19/05/2021,Online Transfer Transfer to Another CIB Client,4950.0
19/05/2021,19/05/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-3050.0
19/05/2021,19/05/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
23/05/2021,23/05/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-200.0
25/05/2021,25/05/2021,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-1000.0
25/05/2021,25/05/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-68.8
27/05/2021,27/05/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-300.0
30/05/2021,30/05/2021,Online Transfer Aliiiiii,1.0
30/05/2021,30/05/2021,Online Transfer Ali,200.0
30/05/2021,30/05/2021,Outward Online Transfer,-1.0
30/05/2021,30/05/2021,ATM WITHDRAWAL BM STREET ELMOKTAM EG,-300.0
30/05/2021,30/05/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-12.0
31/05/2021,31/05/2021,Credit Interest,47.48
01/06/2021,01/06/2021,POS PURCHASE ACCEPT PAYMOB CAIRO EG,-300.0
03/06/2021,03/06/2021,Online Transfer Transfer to Another CIB Client,300.0
03/06/2021,03/06/2021,ATM DEPOSIT CIB MOKATTAM BR II CAIRO EG,200.0
03/06/2021,03/06/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-350.0
03/06/2021,03/06/2021,POS PURCHASE DIGITALOCEAN COM US,-136.02
06/06/2021,06/06/2021,Online Transfer Transfer to Another CIB Client,161.0
06/06/2021,06/06/2021,Online Transfer Transfer to Another CIB Client,65.0
06/06/2021,06/06/2021,POS PURCHASE Uber BV Cairo EG,-21.12
08/06/2021,08/06/2021,POS PURCHASE BEANO CAIRO EG,-120.96
08/06/2021,08/06/2021,POS PURCHASE McDonalds Egypt MASTE Cairo EG,-139.99
09/06/2021,09/06/2021,POS PURCHASE PRIME PICK UP CAIRO,-21.0
13/06/2021,13/06/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-76.8
15/06/2021,15/06/2021,POS PURCHASE Talabat Cairo EG,-135.0
15/06/2021,15/06/2021,POS PURCHASE McDonalds Egypt MASTE Cairo EG,-193.99
17/06/2021,17/06/2021,POS PURCHASE TELECOM EGYPT ADSL PRE GIZA EG,-300.0
20/06/2021,20/06/2021,Online Transfer Transfer to Another CIB Client,1.0
20/06/2021,20/06/2021,Online Transfer Transfer to Another CIB Client,1000.0
20/06/2021,20/06/2021,Online Transfer Transfer to Another CIB Client,800.0
20/06/2021,20/06/2021,ATM WITHDRAWAL BM KNOWLEDGE INTER UNI RTANTA EG,-100.0
21/06/2021,21/06/2021,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
23/06/2021,23/06/2021,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-50.0
27/06/2021,27/06/2021,Online Transfer Transfer to Another CIB Client,220.0
27/06/2021,27/06/2021,POS PURCHASE TBSW Knowledge Hub Mohandessin EG,-12.0
27/06/2021,27/06/2021,ATM WITHDRAWAL CIB EL MAJD MOKATTAM CAIRO EG,-1000.0
28/06/2021,28/06/2021,POS PURCHASE McDonalds Egypt MASTE Cairo EG,-100.49
30/06/2021,30/06/2021,Credit Interest,43.16
