date,txn date,clean_narrative,value
28/04/2022,28/04/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,200.0
28/04/2022,28/04/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,100.0
28/04/2022,28/04/2022,Credit Interest,0.02
08/05/2022,08/05/2022,POS PURCHASE APPLE COM BILL ITUNES COM IE,-41.19
08/05/2022,08/05/2022,POS PURCHASE Riot Dublin IE,-203.84
10/05/2022,10/05/2022,POS PURCHASE Orange Egypt EG,-58.0
17/05/2022,17/05/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,200.0
19/05/2022,19/05/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,250.0
19/05/2022,19/05/2022,POS PURCHASE COM AMSTERDAM NL,-188.41
19/05/2022,19/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
22/05/2022,22/05/2022,POS PURCHASE WWW COM SINGAPORE SG,-239.14
22/05/2022,22/05/2022,POS PURCHASE REFUND COM AMSTERDAM NL,189.94
26/05/2022,26/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
29/05/2022,29/05/2022,POS PURCHASE PAYPAL SPOTIFY GB,-51.49
31/05/2022,31/05/2022,Credit Interest,0.01
19/06/2022,19/06/2022,POS PURCHASE Orange Egypt EG,-15.0
20/06/2022,20/06/2022,POS PURCHASE Orange Egypt EG,-58.0
26/06/2022,26/06/2022,ATM DEPOSIT CIB MOBILE EL NARGS CAIRO EG,400.0
26/06/2022,26/06/2022,POS PURCHASE Orange Egypt EG,-15.0
27/06/2022,27/06/2022,POS PURCHASE Myfawry Maadi EG,-185.4
28/06/2022,28/06/2022,POS PURCHASE PAYPAL SPOTIFY GB,-51.49
29/06/2022,29/06/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
29/06/2022,29/06/2022,Credit Interest,0.32
