Date,Txn Date,Narrative,Value,Clean_Narrative
25-05,25-05,CASH BACK CAIRO,88.0,CASH BACK CAIRO
29-04,29-04,"WWW ZALANDO FR BERLIN EUR72,00",-1455.3,"WWW ZALANDO FR BERLIN ,"
30-04,30-04,PAYMOB shiren CAIRO,-120.0,PAYMOB shiren CAIRO
30-04,30-04,KOKIO CHIKEN CAIRO N. -07A,-200.0,KOKIO CHIKEN CAIRO .
6-05,6-05,STARBUCKS WATER WAY 5A CAIRO N. -07A,-25.0,STARBUCKS WATER WAY CAIRO .
7-05,7-05,COCO GIZA-12E,-240.0,COCO GIZA
7-05,7-05,STARBUCKS GALLERIA 4 6TH OCT. -01A,-25.0,STARBUCKS GALLERIA OCT.
7-05,7-05,QAHWA PARK ST GIZA-12E,-60.0,QAHWA PARK ST GIZA
8-05,8-05,OLA ABO ELKHEIR GROUP 6TH OCT. -01A,-407.0,OLA ABO ELKHEIR GROUP OCT.
11-05,11-05,STARBUCKS DRIVE THRU CAIRO N. -07A,-25.0,STARBUCKS DRIVE THRU CAIRO .
12-05,12-05,FLAMINGO CAIRO N. -07A,-29.5,FLAMINGO CAIRO .
12-05,12-05,HARDEES CHILLOUT 50811 CAIRO N. -07A,-77.0,HARDEES CHILLOUT CAIRO .
13-05,13-05,TOTAL FUEL 116164 CAIRO N. -07A,-419.25,TOTAL FUEL CAIRO .
21-05,21-05,MCDONALDS CHILL OUT CF CAIRO N. -07A,-8.0,MCDONALDS CHILL OUT CF CAIRO .
28-05,28-05,LANYUAN RESTAURANT CAIRO N. -07B,-190.0,LANYUAN RESTAURANT CAIRO .
30-05,30-05,Gourmet Maadi 9 Maadi,-292.0,Gourmet Maadi Maadi
30-04,30-04,PAYMENT RECEIVED INTERNET,200.0,PAYMENT RECEIVED INTERNET
1-05,1-05,Reverse Annual fee,75.0,Reverse Annual fee
