Date,Txn Date,Narrative,Value,Clean_Narrative
25-04,25-04,CASH BACK CAIRO,145.0,CASH BACK CAIRO
31-03,31-03,PAYMOB shiren CAIRO,-60.0,PAYMOB shiren CAIRO
31-03,31-03,WILLYS KITCHEN CAIRO N. -07A,-119.49,WILLYS KITCHEN CAIRO .
1-04,1-04,STARBUCKS ALMAZA CAIRO E. -07C,-25.0,STARBUCKS ALMAZA CAIRO .
6-04,6-04,TOTAL FUEL 116164 CAIRO N. -07A,-437.19,TOTAL FUEL CAIRO .
8-04,8-04,NOON GIZA,-340.8,NOON GIZA
9-04,9-04,STARBUCKS YARD MALL CAIRO N. -07A,-25.0,STARBUCKS YARD MALL CAIRO .
11-04,11-04,Ibn Elsham Fifth distr New Cairo,-161.0,Ibn Elsham Fifth distr New Cairo
11-04,11-04,STARBUCKS DRIVE THRU CAIRO N. -07A,-25.0,STARBUCKS DRIVE THRU CAIRO .
11-04,11-04,MCDONALDS EMARAT MISR CAIRO N. -07A,-3.5,MCDONALDS EMARAT MISR CAIRO .
17-04,17-04,TOTAL FUEL 503020 CAIRO N. -07A,-402.29,TOTAL FUEL CAIRO .
22-04,22-04,THE CREPE CAIRO,-30.0,THE CREPE CAIRO
25-04,25-04,TOTAL FUEL 502894 CAIRO N. -07A,-408.0,TOTAL FUEL CAIRO .
25-04,25-04,MCDONALDS MAADI CAIRO N. -07A,-206.0,MCDONALDS MAADI CAIRO .
6-04,6-04,PAYMENT RECEIVED INTERNET,300.0,PAYMENT RECEIVED INTERNET
8-04,8-04,PAYMENT RECEIVED INTERNET,250.0,PAYMENT RECEIVED INTERNET
9-04,9-04,PAYMENT RECEIVED INTERNET,800.0,PAYMENT RECEIVED INTERNET
21-04,21-04,Payment - Direct Debit,2029.0,Payment Direct Debit
25-04,25-04,CASH BACK REDEMPTION TRX.,50.0,CASH BACK REDEMPTION TRX.
1-04,1-04,Annual fee,-150.0,Annual fee
