Date,Txn Date,Narrative,Value,Clean_Narrative
25-03,25-03,CASH BACK CAIRO,69.0,CASH BACK CAIRO
10-03,10-03,MCDONALDS MAADI 1 C03 CAIRO N. -07A,-161.0,MCDONALDS MAADI CAIRO .
11-03,11-03,ADIDAS - One Kattameya FO CAIRO N. -07A,-999.0,ADIDAS One Kattameya FO CAIRO .
11-03,11-03,ELDAHAN CAIRO,-566.47,ELDAHAN CAIRO
12-03,12-03,ADIDAS - One Kattameya FO CAIRO N. -07A,999.0,ADIDAS One Kattameya FO CAIRO .
13-03,13-03,COFFEE LAB - Emirates El rehab CAIRO N. -07A,-34.0,COFFEE LAB Emirates El rehab CAIRO .
13-03,13-03,TOTAL FUEL  108215 CAIRO N. -07A,-445.93,TOTAL FUEL CAIRO .
15-03,15-03,CIRCLE K MABCO DIS CAIRO,-17.0,CIRCLE MABCO DIS CAIRO
15-03,15-03,MCDONALDS MAADI 1 C03 CAIRO N. -07A,-73.0,MCDONALDS MAADI CAIRO .
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO N. -07A,-5.99,MCDONALDS CHILL OUT CF CAIRO .
19-03,19-03,MCDONALDS CHILL OUT CF CAIRO N. -07A,-28.0,MCDONALDS CHILL OUT CF CAIRO .
19-03,19-03,TOTAL FUEL 116164 CAIRO N. -07A,-453.0,TOTAL FUEL CAIRO .
21-03,21-03,STARBUCKS WATER CAIRO N. -07C,-25.0,STARBUCKS WATER CAIRO .
21-03,21-03,MCDONALDS CONCORD CAIRO N. -07A,-256.46,MCDONALDS CONCORD CAIRO .
22-03,22-03,PROCAR CAIRO N. -07A,-100.0,PROCAR CAIRO .
23-03,23-03,MCDONALDS CHILL OUT MA CAIRO N. -07A,-100.0,MCDONALDS CHILL OUT MA CAIRO .
24-03,24-03,EMARAT MISR  ELMEARAG CAIRO S07E,-478.99,EMARAT MISR ELMEARAG CAIRO
