Date,Txn Date,Narrative,Value,Clean_Narrative
17-06,17-06,TSEPPAS - MOKATTAM CAIRO D.T-07H,-257.5,TSEPPAS MOKATTAM CAIRO .
18-06,18-06,Myfawry Maadi,-199.67,Myfawry Maadi
19-06,19-06,Myfawry Maadi,-85.0,Myfawry Maadi
22-05,22-05,PAYMENT RECEIVED INTERNET,700.0,PAYMENT RECEIVED INTERNET
28-05,28-05,PAYMENT RECEIVED INTERNET,2200.0,PAYMENT RECEIVED INTERNET
31-05,31-05,PAYMENT RECEIVED INTERNET,10000.0,PAYMENT RECEIVED INTERNET
11-06,11-06,PAYMENT RECEIVED INTERNET,400.0,PAYMENT RECEIVED INTERNET
12-06,12-06,PAYMENT RECEIVED INTERNET,1000.0,PAYMENT RECEIVED INTERNET
15-06,15-06,PAYMENT RECEIVED INTERNET,1500.0,PAYMENT RECEIVED INTERNET
19-06,19-06,PAYMENT RECEIVED INTERNET,1000.0,PAYMENT RECEIVED INTERNET
1-06,1-06,INSURANCE FEE -SOLIDARITY CLOSING BALANCE,-10.0,INSURANCE FEE SOLIDARITY
