Date,Txn Date,Narrative,Value,Clean_Narrative
11-12,11-12,VODAFONE EGYPT CAIRO,-1105.0,VODAFONE EGYPT CAIRO
11-12,11-12,MOBIL MARKET CAIRO,-38.0,MOBIL MARKET CAIRO
12-12,12-12,VODAFONE EGYPT CAIRO,-405.0,VODAFONE EGYPT CAIRO
13-12,13-12,FLAMINGO CAIRO N. -07A,-391.6,FLAMINGO CAIRO .
13-12,13-12,MEKKA CENTER CAIRO N. -07A,-215.0,MEKKA CENTER CAIRO .
13-12,13-12,MOBIL MARKET CAIRO,-40.0,MOBIL MARKET CAIRO
13-12,13-12,ON THE RUN CAIRO,-80.0,ON THE RUN CAIRO
13-12,13-12,A 2 Z SUPER MARKET 2 CAIRO N 07,-40.5,SUPER MARKET CAIRO
14-12,14-12,EL EZABY CAIRO N. -07A,-73.27,EL EZABY CAIRO .
15-12,15-12,SEOUDI-SILVER STAR CAIRO N 07,-135.29,SEOUDISILVER STAR CAIRO
16-12,16-12,KRISPY KREME 21713 CAIRO N. -07A,-30.0,KRISPY KREME CAIRO .
16-12,16-12,MOBIL MARKET CAIRO,-40.0,MOBIL MARKET CAIRO
17-12,17-12,VODAFONE EGYPT CAIRO,-105.0,VODAFONE EGYPT CAIRO
19-12,19-12,Seoudi Water Way 1 Others,-304.8,Seoudi Water Way Others
20-12,20-12,VODAFONE EGYPT CAIRO,-2005.0,VODAFONE EGYPT CAIRO
24-12,24-12,SEOUDI - WATER WAY MALL CAIRO N. -07A,-575.91,SEOUDI WATER WAY MALL CAIRO .
25-12,25-12,MAHMOUD ELFAR ELTAGAMO CAIRO D T,-169.52,MAHMOUD ELFAR ELTAGAMO CAIRO
26-12,26-12,DUNKIN DONUTS -ELMOSHI CAIRO N 07,-48.0,DUNKIN DONUTS ELMOSHI CAIRO
26-12,26-12,MOBIL CFC CAIRO,-200.0,MOBIL CFC CAIRO
26-12,26-12,ON THE RUN CAIRO,-40.0,ON THE RUN CAIRO
27-12,27-12,Netflix.com Los Gatos,-200.0,Netflix.com Los Gatos
24-12,24-12,PAYMENT RECEIVED INTERNET,9500.0,PAYMENT RECEIVED INTERNET
24-12,24-12,PAYMENT RECEIVED INTERNET,6000.0,PAYMENT RECEIVED INTERNET
1-12,1-12,INSURANCE FEE -SOLIDARITY EGYPTAIR PLUS Frequent Flyer Number4020614942 Welcome Bonus Miles Miles Earned Dec-22 (Miles will be added to your EGYPTAIR Plus account in 4 weeks) CLOSING BALANCE,-10.0,INSURANCE FEE SOLIDARITY EGYPTAIR PLUS Frequent Flyer Welcome Bonus Miles Miles Earned Dec (Miles will be added to your EGYPTAIR Plus account in weeks)
