Date,Txn Date,Narrative,Value,Clean_Narrative
28-12,28-12,FOREIGN EXCHANGE FEES CAIRO,-20.0,FOREIGN EXCHANGE FEES CAIRO
29-11,29-11,Coffee Berry O1 New Ca CAIRO N. -07A,-65.0,Coffee Berry New Ca CAIRO .
29-11,29-11,Coffee Berry O1 New Ca CAIRO N. -07A,-65.0,Coffee Berry New Ca CAIRO .
29-11,29-11,CHILLOUT AUC CAIRO N. -07A,-200.0,CHILLOUT AUC CAIRO .
29-11,29-11,EL EZABY CAIRO N. -07A,-143.24,EL EZABY CAIRO .
29-11,29-11,ARAMEX INTERNATIONAL M CAIRO,-812.36,ARAMEX INTERNATIONAL CAIRO
29-11,29-11,PAYMOB dribrahim CAIRO,-350.0,PAYMOB dribrahim CAIRO
30-11,30-11,APEX CO. CAIRO,-90.0,APEX CO. CAIRO
1-12,1-12,MOBIL MARKET CAIRO,-115.0,MOBIL MARKET CAIRO
1-12,1-12,ON THE RUN CAIRO,-72.0,ON THE RUN CAIRO
2-12,2-12,MOBIL CAIRO,-525.0,MOBIL CAIRO
2-12,2-12,ROYAL CAIRO,-814.6,ROYAL CAIRO
3-12,3-12,BAVARIAN AUTO - KATTAMEYA 5 CAIRO S. -07E,-1400.0,BAVARIAN AUTO KATTAMEYA CAIRO .
3-12,3-12,SEOUDI-SILVER STAR CAIRO N 07,-254.93,SEOUDISILVER STAR CAIRO
3-12,3-12,FLAMINGO CAIRO N. -07A,-571.14,FLAMINGO CAIRO .
4-12,4-12,VODAFONE EGYPT CAIRO,-2005.0,VODAFONE EGYPT CAIRO
4-12,4-12,VODAFONE EGYPT CAIRO,-1005.0,VODAFONE EGYPT CAIRO
4-12,4-12,MOBIL MARKET CAIRO,-35.0,MOBIL MARKET CAIRO
4-12,4-12,FAWRY*TOMMY CAIRO D T,-340.0,FAWRY*TOMMY CAIRO
5-12,5-12,CIRCLE K TRADE MIX CAIRO,-40.0,CIRCLE TRADE MIX CAIRO
6-12,6-12,APEX CO. CAIRO,-40.0,APEX CO. CAIRO
6-12,6-12,A 2 Z MARKET CAIRO N. -07A,-297.5,MARKET CAIRO .
7-12,7-12,CAKE CAFE SWAN LAKE CAIRO N. -07A,-745.65,CAKE CAFE SWAN LAKE CAIRO .
7-12,7-12,TRAFFIC MARKET CAIRO,-47.0,TRAFFIC MARKET CAIRO
7-12,7-12,Orange DSL Cairo,-114.0,Orange DSL Cairo
8-12,8-12,MOBIL CFC CAIRO,-365.0,MOBIL CFC CAIRO
8-12,8-12,APEX CO. CAIRO,-38.0,APEX CO. CAIRO
8-12,8-12,ON THE RUN CAIRO,-80.0,ON THE RUN CAIRO
9-12,9-12,SEOUDI - SILVER MALL CAIRO N. -07A,-320.19,SEOUDI SILVER MALL CAIRO .
9-12,9-12,Carlos CAIRO E. -07C,-380.0,Carlos CAIRO .
10-12,10-12,SUPERMARKET MAHMOUD EL CAIRO N. -07A,-135.43,SUPERMARKET MAHMOUD EL CAIRO .
