Date,Txn Date,Narrative,Value,Clean_Narrative
23/02,23/02,MARKUP FEES CAIRO,-4.95,MARKUP FEES CAIRO
23/02,23/02,MARKUP FEES CAIRO,-1.5,MARKUP FEES CAIRO
24/02,24/02,MARKUP FEES CAIRO,-2.25,MARKUP FEES CAIRO
8/03,8/03,MARKUP FEES CAIRO,-1.44,MARKUP FEES CAIRO
17/03,17/03,MARKUP FEES CAIRO,-0.57,MARKUP FEES CAIRO
20/02,20/02,STARBUCKS DRIVE THRU CAIRO N. -07A,-40.0,STARBUCKS DRIVE THRU CAIRO .
21/02,21/02,Netflix.com INTERNET,-165.0,Netflix.com INTERNET
21/02,21/02,APPLE.COM/BILL ITUNES.COM,-49.99,APPLE.COM/BILL ITUNES.COM
22/02,22/02,APPLE.COM/BILL ITUNES.COM,-74.99,APPLE.COM/BILL ITUNES.COM
23/02,23/02,EMARAT MISR-RING ROAD CAIRO N. -07A,-215.0,EMARAT MISRRING ROAD CAIRO .
23/02,23/02,EMARAT MISR-RING ROAD CAIRO N. -07A,-44.0,EMARAT MISRRING ROAD CAIRO .
23/02,23/02,myfawry Maadi,-202.5,myfawry Maadi
23/02,23/02,myfawry Maadi,-62.5,myfawry Maadi
23/02,23/02,STARBUCKS DRIVE THRU CAIRO N. -07A,-96.0,STARBUCKS DRIVE THRU CAIRO .
25/02,25/02,STARBUCKS WATERWAY CAIRO N. -07A,-35.0,STARBUCKS WATERWAY CAIRO .
26/02,26/02,MOBIL STATION ELNOUR CAIRO,-245.0,MOBIL STATION ELNOUR CAIRO
28/02,28/02,Uber BV Cairo,-58.12,Uber BV Cairo
29/02,29/02,Uber BV Cairo,-12.0,Uber BV Cairo
29/02,29/02,TOTAL FUEL 112617 CAIRO N. -07C,-80.0,TOTAL FUEL CAIRO .
29/02,29/02,Myfawry Maadi,-348.39,Myfawry Maadi
1/03,1/03,A&W FOR TRADING - CHILL OUT 6TH OCT. -01A,-98.0,& FOR TRADING CHILL OUT OCT.
1/03,1/03,EMARAT MISR - C.F.C CAIRO E07E,-49.0,EMARAT MISR .. CAIRO
1/03,1/03,EMARAT MISR - C.F.C CAIRO E07E,-315.0,EMARAT MISR .. CAIRO
1/03,1/03,STARBUCKS DRIVE THRU CAIRO N. -07A,-96.0,STARBUCKS DRIVE THRU CAIRO .
5/03,5/03,TOTAL BONJOUR 116082 6TH OCT. -01A,-75.5,TOTAL BONJOUR OCT.
5/03,5/03,Myfawry Maadi,-96.75,Myfawry Maadi
5/03,5/03,Myfawry Maadi,-242.61,Myfawry Maadi
6/03,6/03,APPLE.COM/BILL ITUNES.COM,-47.99,APPLE.COM/BILL ITUNES.COM
7/03,7/03,Uber BV Cairo,-14.39,Uber BV Cairo
8/03,8/03,Otlob.com Cairo,-101.1,Otlob.com Cairo
9/03,9/03,Otlob.com Cairo,-155.0,Otlob.com Cairo
9/03,9/03,PayMob Accept Downtown,-280.0,PayMob Accept Downtown
15/03,15/03,LINCONTRO CAIRO,-1034.21,LINCONTRO CAIRO
16/03,16/03,APPLE.COM/BILL ITUNES.COM,-18.99,APPLE.COM/BILL ITUNES.COM
16/03,16/03,MCDONALD،S CHILLOUT DE 6TH OCT. - 01A,-95.5,MCDONALD، CHILLOUT DE OCT.
16/03,16/03,STARBUCKS COFFEED 6TH OCT. -01A,-67.0,STARBUCKS COFFEED OCT.
18/03,18/03,DECATHLON EGYPT - CFC CAIRO E. -07C,-1146.0,DECATHLON EGYPT CFC CAIRO .
15/03,15/03,Payment - Direct Debit,6339.39,Payment Direct Debit
1/03,1/03,Solidarity Scheme CLOSING BALANCE,-5.0,Solidarity Scheme
